Player,Team,Nationality,Kill,Death,K/D,KAST,Prize,Earnings,Role,HS %,Rounds Played,Rounds Win,Rounds Lose,Rank,Team Region
Sacy,LOUD,Brazil,147,123,1.2,76%,"	$60,000.00",60000,Initiator,25.5,222,155,67,1,Brazil
saadhak,LOUD,Argentina,150,143,1.05,76%,"	$60,000.00",60000,Initiator,22.5,222,155,67,1,Brazil
pANcada,LOUD,Brazil,169,137,1.23,81%,"	$60,000.00",60000,Controller,36.75,222,155,67,1,Brazil
Less,LOUD,Brazil,176,134,1.31,73%,"	$60,000.00",60000,Sentinel,26.5,222,155,67,1,Brazil
aspas,LOUD,Brazil,166,158,1.05,71%,"	$60,000.00",60000,Duelist,26.25,222,155,67,1,Brazil
yay,OPTC,United States,334,236,1.42,71%,"	$30,000.00",30000,Duelist,28.6,365,181,184,2,North America
Marved,OPTC,Canada,240,252,0.95,73%,"	$30,000.00",30000,Controller,30.8,365,181,184,2,North America
Victor,OPTC,United States,247,254,0.97,69%,"	$30,000.00",30000,Duelist,25.4,365,181,184,2,North America
crashies,OPTC,United States,238,246,0.97,72%,"	$30,000.00",30000,Initiator,26.6,365,181,184,2,North America
FNS,OPTC,Canada,188,247,0.76,67%,"	$30,000.00",30000,Sentinel,20.4,365,181,184,2,North America
MaKo,DRX,South Korea,224,197,1.14,77%,"	$22,000.00",22000,Controller,31.2,313,145,168,3,South Korea
BuZz,DRX,South Korea,235,237,0.99,66%,"	$22,000.00",22000,Duelist,27.4,313,145,168,3,South Korea
Zest,DRX,South Korea,205,218,0.94,70%,"	$22,000.00",22000,Initiator,36,313,145,168,3,South Korea
stax,DRX,South Korea,192,207,0.93,69%,"	$22,000.00",22000,Initiator,38.8,313,145,168,3,South Korea
Rb,DRX,South Korea,192,228,0.84,69%,"	$22,000.00",22000,Flex,25.8,313,145,168,3,South Korea
Zyppan,FPX,Sweeden,171,161,1.06,72%,"	$16,000.00",16000,Duelist,25.75,214,118,96,4,EU
ardiis,FPX,Latvia,178,166,1.07,71%,"	$16,000.00",16000,Sentinel,20.75,214,118,96,4,EU
SUYGETSU,FPX,International,153,142,1.08,70%,"	$16,000.00",16000,Controller,33,214,118,96,4,EU
Shao,FPX,International,130,130,1,79%,"	$16,000.00",16000,Flex,29.75,214,118,96,4,EU
ANGE1,FPX,Ukraine,99,168,0.59,60%,"	$16,000.00",16000,Flex,29,214,118,96,4,EU
AYRIN,XSET,Canada,135,122,1.11,68%,"	$12,000.00",12000,Flex,16.67,183,71,112,"5,6",North America
BcJ,XSET,United States,119,128,0.93,73%,"	$12,000.00",12000,Flex,15,183,71,112,"5,6",North America
Cryocells,XSET,United States,156,119,1.31,68%,"	$12,000.00",12000,Flex,26.33,183,71,112,"5,6",North America
dephh,XSET,United Kingdom,107,129,0.83,72%,"	$12,000.00",12000,Flex,27,183,71,112,"5,6",North America
zekken,XSET,United States,121,141,0.86,63%,"	$12,000.00",12000,Flex,23,183,71,112,"5,6",North America
Derke,FNC,Finland,147,99,1.48,69%,"	$12,000.00",12000,Flex,33.33,152,79,73,"5,6",EU
Enzo,FNC,France,93,84,1.11,77%,"	$12,000.00",12000,Initiator,20.67,152,79,73,"5,6",EU
Alfajer,FNC,Turkey,115,92,1.25,68%,"	$12,000.00",12000,Flex,30.33,152,79,73,"5,6",EU
Boaster,FNC,United Kingdom,92,97,0.95,73%,"	$12,000.00",12000,Controller,20.67,152,79,73,"5,6",EU
Mistic,FNC,United Kingdom,85,99,0.86,79%,"	$12,000.00",12000,Flex,24.67,152,79,73,"5,6",EU
Nivera,TL,Belgium,60,77,0.78,57%,"	$8,000.00",8000,Flex,33.5,81,42,39,"7,8",EU
Jamppi,TL,Finland,61,75,0.81,64%,"	$8,000.00",8000,Sentinel,29,81,42,39,"7,8",EU
Scream,TL,Belgium,69,73,0.95,60%,"	$8,000.00",8000,Duelist,27,81,42,39,"7,8",EU
dimasick,TL,Kazakhstan,54,74,0.73,67%,"	$8,000.00",8000,Controller,38.5,81,42,39,"7,8",EU
soulcas,TL,United Kingdom,63,75,0.84,70%,"	$8,000.00",8000,Initiator,33.5,81,42,39,"7,8",EU
kiNgg,LEV,Chile,82,54,1.52,75%,"	$8,000.00",8000,Flex,27,88,35,53,"7,8",Latin America
adverso,LEV,Chile,59,64,0.92,70%,"	$8,000.00",8000,Initiator,22.5,88,35,53,"7,8",Latin America
Melser,LEV,Chile,54,57,0.95,70%,"	$8,000.00",8000,Flex,27.5,88,35,53,"7,8",Latin America
Tacolilla,LEV,Chile,51,68,0.75,63%,"	$8,000.00",8000,Sentinel,24,88,35,53,"7,8",Latin America
Shyy,LEV,Chile,39,64,0.61,71%,"	$8,000.00",8000,Initiator,22,88,35,53,"7,8",Latin America
